3.90,4.87,3.13,3.53,4.94,4.41,4.77,,,,,,,,,,,,
3.67,4.89,5.16,4.85,4.23,3.36,3.96,,,,,,,,,,,,
4.73,5.50,3.50,3.84,4.78,3.30,4.08,,,,,,,,,,,,
4.91,5.84,4.61,5.56,5.86,4.63,5.03,,,,,,,,,,,,
4.47,6.07,3.92,4.91,5.70,3.99,5.21,,,,,,,,,,,,
6.94,7.83,5.49,7.09,7.27,4.90,7.08,,,,,,,,,,,,
4.73,6.36,4.11,4.85,4.36,4.13,4.37,,,,,,,,,,,,
5.59,5.25,4.20,4.86,4.14,3.44,3.88,,,,,,,,,,,,
5.26,5.93,5.35,5.05,4.45,4.13,4.72,,,,,,,,,,,,
4.81,5.48,4.39,4.13,3.71,4.10,4.90,,,,,,,,,,,,
5.97,6.40,4.99,4.97,3.84,5.19,4.83,,,,,,,,,,,,
5.01,6.21,4.05,4.88,5.55,4.34,4.32,,,,,,,,,,,,
5.38,5.87,4.96,4.20,4.92,5.28,3.88,,,,,,,,,,,,
4.56,4.49,4.95,4.29,5.24,3.20,6.04,,,,,,,,,,,,
5.32,5.84,3.87,4.25,3.34,3.61,4.54,,,,,,,,,,,,
4.12,5.20,3.67,4.53,4.50,3.27,4.19,,,,,,,,,,,,
3.57,4.51,3.26,5.07,4.20,4.02,4.08,,,,,,,,,,,,
5.19,6.83,5.07,5.12,3.91,4.50,3.83,,,,,,,,,,,,
4.43,12.54,2.79,3.96,5.25,2.63,3.60,,,,,,,,,,,,
5.15,6.28,3.87,5.61,5.99,4.04,3.95,,,,,,,,,,,,
5.06,6.46,2.93,4.22,5.62,3.47,5.53,,,,,,,,,,,,
3.89,8.20,3.84,4.69,6.02,4.07,5.46,,,,,,,,,,,,
3.87,5.09,4.15,5.08,4.84,3.39,3.77,,,,,,,,,,,,
4.91,6.15,5.15,5.14,5.54,4.12,4.95,,,,,,,,,,,,
3.68,4.16,3.29,4.60,4.18,4.13,3.65,,,,,,,,,,,,
5.20,5.91,4.84,4.84,4.94,4.18,4.94,,,,,,,,,,,,
5.70,6.72,5.14,5.48,4.92,4.52,5.48,,,,,,,,,,,,
5.83,8.13,5.13,5.28,4.07,5.38,6.02,,,,,,,,,,,,
5.05,5.58,3.95,4.68,5.91,3.62,4.12,,,,,,,,,,,,
5.06,6.09,4.73,4.74,4.92,4.44,5.08,,,,,,,,,,,,
4.02,5.63,4.30,4.78,3.58,3.94,4.23,,,,,,,,,,,,
4.37,5.34,4.11,4.33,3.87,4.08,4.10,,,,,,,,,,,,
5.45,4.88,3.76,4.47,5.20,4.37,4.08,,,,,,,,,,,,
3.52,4.45,3.60,5.09,3.47,3.85,4.69,,,,,,,,,,,,
4.79,5.69,3.73,4.35,4.45,3.80,3.81,,,,,,,,,,,,
4.15,5.26,3.60,3.91,5.08,4.07,4.67,,,,,,,,,,,,
5.09,5.88,4.55,5.31,5.43,4.79,5.09,,,,,,,,,,,,
4.15,6.61,4.49,4.63,3.43,4.62,4.58,,,,,,,,,,,,
3.56,4.94,3.21,5.07,4.95,4.05,3.88,,,,,,,,,,,,
4.80,6.46,3.64,4.20,4.36,2.70,3.35,,,,,,,,,,,,
4.34,5.70,3.79,4.34,5.49,3.41,4.31,,,,,,,,,,,,
3.67,4.67,3.40,4.57,4.40,3.31,3.13,,,,,,,,,,,,
3.93,4.08,4.13,4.87,5.32,4.72,4.95,,,,,,,,,,,,
4.39,5.47,3.98,4.85,5.56,3.97,4.16,,,,,,,,,,,,
4.48,5.53,4.02,4.88,4.90,3.84,4.01,,,,,,,,,,,,
4.36,7.44,4.12,4.73,6.39,3.96,4.41,,,,,,,,,,,,
5.48,4.53,5.16,4.81,4.55,3.26,6.17,,,,,,,,,,,,
4.45,6.51,4.77,5.39,5.26,5.04,4.52,,,,,,,,,,,,
5.79,8.22,5.43,5.44,6.43,5.86,5.20,,,,,,,,,,,,
5.71,6.06,5.50,5.57,5.15,4.95,4.79,,,,,,,,,,,,
3.29,4.48,3.14,4.24,4.03,3.47,3.71,,,,,,,,,,,,
4.65,5.31,4.50,4.69,5.60,4.32,4.20,,,,,,,,,,,,
3.65,5.84,3.72,4.64,3.62,3.93,3.97,,,,,,,,,,,,
5.25,7.22,5.47,4.35,4.65,4.16,5.12,,,,,,,,,,,,
4.91,6.02,5.15,4.89,4.88,5.21,5.31,,,,,,,,,,,,
4.17,4.90,4.92,3.77,4.17,4.99,5.23,,,,,,,,,,,,
3.48,3.63,3.97,3.14,3.67,2.78,4.01,,,,,,,,,,,,
4.00,4.84,2.92,4.28,2.44,3.29,3.98,,,,,,,,,,,,
4.46,6.38,4.11,5.27,5.45,4.22,5.02,,,,,,,,,,,,
